target_section,paragraph_id,condensed_claim,source_sections,source_references,evidence_level,compression_action,omitted_detail,SI_destination,full_text_verification_required,author_review_required,claim_type,evidence_status,citation_support_scope,evidence_gap_priority
5.5 / Table 3,P5-10,"Table 3 consolidates 6 model families against inferential target, identifiability requirement, dominant uncertainty, minimum validation, and failure mode -- absorbing 4-6 items selected from the former Table 6 per this round's Table-6 disposition decision.","Ch7 Tables 4-5 (method families, per-study audit) + up to 6 selected items from Ch8 Table 6 (uncertainty source matrix)",Zuccato et al. 2008 (implied); Ramin et al. 2017 (implied); Huisman et al. 2022; Dai et al. 2024; McMahan et al. 2021 (implied); Ai et al. 2022 (implied) -- via the six model-family rows,Abstract-checked (table synthesizes P5-1 through P5-9's paragraphs),merge,"Full Table 4 (8-row method-family evidence table) and Table 5 (10-row per-study audit), and full Table 6 (12-row uncertainty-source matrix) -- consolidated here to 6 rows and 6 columns; full detail in SI Table S5 and S7",S7 Reconstruction-model evidence (Tables 4-5 full); S8 Uncertainty methods and evidence (Table S5 full),yes,yes -- confirm the 6-row/6-column table density does not lose a model family or evidentiary distinction the author considers essential,"Empirical finding, evidence-anchored (table)",Abstract-checked,"Each row's citation supports only that row's specific study; 'principal failure mode' column entries are this review's own synthesis, not asserted by the cited studies themselves","**Critical** -- highest-density evidence-gap location in Part 5, consolidating method-performance-comparison and validation-tier claims across 6 model families"
6.1,P6-1,"Three surveillance objectives require different threshold logic; threshold set from asymmetric cost (§5.5), not convention; a recent preprint (Link/Garrido) reports a sensitivity advantage in a large U.S. county sample, but as a single non-peer-reviewed study this does not establish transferability -- threshold transportability must be re-validated per deployment. (Phase 3A Option C edit: specific 281-county figure removed as non-essential; 'a recent preprint reports...' framing and single-study/non-peer-reviewed/single-national-context caveats added.)","Ch9 §9.1-§9.2 (heavily condensed; asymmetric-cost re-explanation removed per Overlap Audit, references Part 5.5 instead)","Assoum et al. 2023; Link, Garrido et al. 2026",Abstract-checked,shorten,"Full statistical-process-control detection-rule discussion (§9.2's withdrawn-source design-philosophy point, per [56]'s withdrawal, not re-introduced); specific sensitivity 0.82/PPV 0.64 figures retained qualitatively only as 'substantial advantage', not restated as precise numbers; the specific 281-county figure itself was removed from the condensed text in Phase 3A as non-essential to the argument",S10 Expanded reporting checklist,yes,no,"Empirical finding, evidence-anchored",Abstract-checked,"Link/Garrido genuinely supports the sensitivity comparison for that one study; 'cannot be assumed transferable' is this review's own inference, explicitly flagged as such in the source draft's own §9.2 argument and now reinforced by the Phase 3A narrowing edit","**Critical** -- cross-city/cross-population transferability claim, single-study evidence, [57] itself still preprint (non-peer-reviewed)"
6.2,P6-2,"No stream is ground truth; Zhang et al.'s four-system fusion shows fusion can outperform single streams, but does not automatically remove shared confounding/lag/selection bias; weather is a confounder needing correction, not just a corroborating stream.","Ch9 §9.3-§9.4 (weather's double role, shared-confound and lag-structure fusion-failure mechanisms)",Zhang et al. 2025,Abstract-checked,shorten,"Specific per-system correlation-magnitude and lead/lag figures, deliberately omitted as pending full-text confirmation",none (Ch9 has no dedicated SI section named; content is argument-dense per Target Outline's own note),yes,no,Empirical finding + mechanistic argument,"Abstract-checked (Zhang et al.); Author conceptual synthesis (weather's double role, shared-confound mechanism)","Zhang et al. supports only that one 4-system fusion study's qualitative finding; the general fusion-failure-mechanism argument is this review's own, illustrated but not proven by that example","**High** -- method-performance-comparison-adjacent (fusion vs. single-stream), single-study evidence"
6.3,P6-3,"Four actionability conditions govern the detectable-to-actionable gap: uncertainty translated to decision terms, named actor/protocol exists, detection-to-action interval adequate, threshold validated against specific deployment cost.","Ch9 §9.7 (four-condition framework, explicitly protected original)",none directly cited in this paragraph,Conceptual synthesis (original framework),shorten,"The illustrative box example (§9.7's Box); the ~1-week reporting-timeliness figure, omitted as illustrative-only per source draft's own flag",none,no,no,Original synthesis/proposition,Author conceptual synthesis,Not applicable -- explicitly this review's own protected original framework,"Author synthesis, no external citation needed"
6.3,P6-4,"WBE cannot provide individual diagnosis; non-sewered populations structurally invisible (Yu et al.'s systematic-not-random connectivity finding); three distinct fine-resolution problems: re-identification risk (Moallef et al.'s documented instance), group stigmatization, structural equity.","Ch9 §9.5-§9.6 (three-way privacy/stigma/equity distinction, required to survive compression per Phase 1 Content Priority Audit)",Yu et al. 2024; Moallef et al. 2025,Abstract-checked (both metadata-verified per Citation Verification Table),shorten,"Yu et al.'s specific ~80% connectivity figure and detailed demographic associations, omitted per source draft's own flag that the qualitative finding is more load-bearing; Kwiatkowska et al. and Thompson et al.'s group-stigmatization-framing detail, moved to SI","none (ethics/equity content is argument-dense, not SI-friendly per Target Outline)",yes,no,Empirical finding + ethics/equity framework,"Abstract-checked (Yu et al., Moallef et al.); Author conceptual synthesis (the three-way distinction itself)","Yu et al. supports the connectivity-inequity finding specifically for the U.S.; Moallef et al. supports one documented re-identification instance, not a general re-identification-risk rate","**High** -- ethics-and-equity claim with cross-population generalizability implications, U.S.-specific evidence only"
7.1,P7-1,"Distributed sampling trades spatial resolution for signal stability (Schang et al.'s nested-scale validation); online covariates/near-real-time compress latency but a faster wrong number is not an improvement; digital twins (Bam et al.) are process-constraint generators, not automatic validators; event-responsive monitoring targets scenario uncertainty.",Ch10 §10.1-§10.4 (heavily condensed),Schang et al. 2021; Bam et al. 2025,Abstract-checked,shorten,"Schang et al.'s specific low-prevalence detection-floor figure (0.03-0.3 cases/10,000), omitted as pending full-text confirmation; Bam et al.'s 147-study synthesis detail, moved to SI; Sharma et al.'s near-real-time biosensor turnaround-time example, cut entirely from Part 7 for space (was in Phase 1 plan)",S9 Technology-readiness evidence,yes,yes -- confirm dropping the Sharma et al. biosensor example entirely (not just compressing it) does not lose a required focus area,"Empirical finding, evidence-anchored",Abstract-checked,"Schang et al. supports the nested-scale early-detection finding for that one study; Bam et al. supports the growing-research-area characterization, not a specific performance claim",Moderate
7.2,P7-2,"Hybrid mechanistic-statistical/physics-informed ML (Pagsuyoin et al.) incorporates structure as constraint, not replacement; same transfer requirement as §6.1 applies without modification; temporal-leakage check is minimum requirement; standardization (Keenum et al.) is precondition for cross-site validation.","Ch10 §10.5-§10.7 (temporal-leakage/cross-population failure modes, standardization argument)",Pagsuyoin et al. 2025; Keenum et al. 2024,Abstract-checked (Keenum et al. ⚠ flagged duplicated-surname author-list inconsistency),shorten,"Full temporal-leakage/cross-population-failure-mode dual explanation (compressed to one sentence, cross-referencing Part 3.5/6.1's transfer-validation principle rather than re-arguing it, per Overlap Audit); Therrien et al.'s data-interoperability detail, cut from Part 7 for space",S9 Technology-readiness evidence,yes,"yes -- confirm dropping Therrien et al./interoperable-data-infrastructure content entirely (not just compressing it) is acceptable, or whether a one-sentence mention should be restored",Empirical finding + mechanistic argument,Abstract-checked,"Pagsuyoin et al. supports the hybrid-model-framing characterization generally; Keenum et al. supports the standardization-as-precondition argument for that one working group's position paper, not a field-wide consensus",**High** -- method-performance/standardization claim with an unresolved author-list flag on its primary citation (Keenum et al.)
7.3,P7-3,"A single favorable result is evidence for that level only. Five-level readiness hierarchy retained; core proposition: analytical novelty != epidemiological validity, operational readiness, or demonstrated decision value. No surveyed technology confidently above hierarchy midpoint. Equitable deployment is a readiness dimension, not an afterthought.","Ch10 §10.10 (six-level TRL framework, condensed to five named stages; principal original deliverable)",none directly cited in this paragraph,"Conceptual synthesis (original framework, explicitly protected)",shorten,"The full six-level-to-five-stage mapping detail; Table 8's full technology-by-technology readiness assessment, moved to SI; the equitable-deployment extension is new synthesis this round, connecting §10.10's technology-readiness framework to §9.6's equity argument explicitly for the first time",S9 Technology-readiness evidence,no,yes -- confirm the six-level-to-five-stage compression (merging levels) and the new equitable-deployment connective sentence match intended emphasis,Original synthesis/proposition,Author conceptual synthesis,Not applicable -- explicitly this review's own protected original framework,"Author synthesis, no external citation needed"
8.1,P8-1,"Six testable research priorities, each naming an unresolved question, required design, and expected inferential gain (paired source-sewer-outlet observations; rainfall-event mass-balance experiments; fate-matching studies; synthetic-state recovery tests; cross-city/cross-climate validation; uncertainty-coverage and decision-value trials).","New content, synthesized from gaps documented across Ch3-Ch10 (each priority cites its source gap internally)","none (forward-looking research-gap statements, not evidence-dependent claims)",Author conceptual synthesis,merge,"none -- new content per this round's explicit Part 8.1 instruction, capped at 6 items with no 'more research is needed' boilerplate",none,no,"yes -- confirm these 6 priorities are the correct highest-value set, not merely the first 6 gaps identified",Original synthesis/proposition (forward-looking),Author conceptual synthesis,"Not applicable -- research-priority statements, not empirical claims","Author synthesis, no external citation needed"
8.2,P8-2,Four original contributions recapped with one implication each; no new claim introduced beyond what Parts 1-7 already established.,"New content (no current chapter is a 'conclusions' chapter), recapping Part 1.3's four propositions",none (no citations permitted in Conclusions per this round's explicit instruction),Author conceptual synthesis,merge,"none -- this is a recap, not a new claim; deliberately introduces nothing beyond Parts 1-7",none,no,no,Original synthesis/proposition (recap),Author conceptual synthesis,Not applicable -- no citations by instruction,"Author synthesis, no external citation needed"
8.2,P8-3,The four propositions target one recurring overclaiming failure mode; closing evidentiary gaps stage-by-stage is the review's central contribution; every claim in this synthesis remains pending formal systematic verification.,"New content, closing statement",none,Author conceptual synthesis,merge,none,none,no,no,Original synthesis/proposition (recap),Author conceptual synthesis,Not applicable -- no citations by instruction,"Author synthesis, no external citation needed"
